time_s,flux_kg_nm2_s,flux_g_m2_day
0.000000e+00,0.000000e+00,0.000000e+00
1.000000e+00,1.279314e-30,1.105327e-04
2.000000e+00,5.155896e-31,4.454695e-05
3.000000e+00,2.293650e-31,1.981713e-05
5.000000e+00,9.871612e-32,8.529073e-06
9.000000e+00,7.009430e-32,6.056147e-06
1.700000e+01,7.645144e-32,6.605404e-06
3.300000e+01,9.196483e-32,7.945761e-06
6.500000e+01,1.089603e-31,9.414166e-06
1.290000e+02,1.213950e-31,1.048853e-05
2.570000e+02,1.269584e-31,1.096921e-05
5.130000e+02,1.283586e-31,1.109019e-05
1.025000e+03,1.285481e-31,1.110656e-05
2.049000e+03,1.285602e-31,1.110760e-05
4.097000e+03,1.285600e-31,1.110759e-05
7.697000e+03,1.285592e-31,1.110751e-05
1.129700e+04,1.285624e-31,1.110779e-05
1.489700e+04,1.285622e-31,1.110778e-05
1.849700e+04,1.285596e-31,1.110755e-05
2.209700e+04,1.285607e-31,1.110765e-05
2.569700e+04,1.285612e-31,1.110768e-05
2.929700e+04,1.285618e-31,1.110774e-05
3.289700e+04,1.285608e-31,1.110766e-05
3.649700e+04,1.285605e-31,1.110763e-05
4.009700e+04,1.285618e-31,1.110774e-05
4.369700e+04,1.285601e-31,1.110759e-05
4.729700e+04,1.285600e-31,1.110759e-05
5.089700e+04,1.285626e-31,1.110781e-05
5.449700e+04,1.285597e-31,1.110756e-05
5.809700e+04,1.285612e-31,1.110768e-05
6.169700e+04,1.285628e-31,1.110782e-05
6.529700e+04,1.285606e-31,1.110764e-05
6.889700e+04,1.285606e-31,1.110763e-05
7.249700e+04,1.285596e-31,1.110755e-05
7.609700e+04,1.285597e-31,1.110756e-05
7.969700e+04,1.285615e-31,1.110771e-05
8.329700e+04,1.285617e-31,1.110773e-05
8.640000e+04,1.285606e-31,1.110764e-05
