time_s,nnc_bottom,nnc_second,gradient_per_nm
0.0,0.0,0.0,0.0
1.0,0.0,9.39614184465232e-05,1.8792283689304641e-06
2.0,0.0,0.00023162849203881299,4.632569840776259e-06
3.0,0.0,0.0003841011073890699,7.682022147781398e-06
5.0,0.0,0.0006903480044633425,1.380696008926685e-05
9.0,0.0,0.0012514638717551119,2.5029277435102236e-05
17.0,0.0,0.002175829846164923,4.3516596923298464e-05
33.0,0.0,0.0034654011600723247,6.93080232014465e-05
65.0,0.0,0.004846223879312177,9.692447758624354e-05
129.0,0.0,0.005855499430263035,0.0001171099886052607
257.0,0.0,0.006307177972561096,0.00012614355945122192
513.0,0.0,0.0064208388505347155,0.0001284167770106943
1025.0,0.0,0.006436179563984048,0.00012872359127968097
2049.0,0.0,0.006437255145630924,0.0001287451029126185
4097.0,0.0,0.00643729362082239,0.0001287458724164478
7697.0,0.0,0.00643729423352318,0.00012874588467046358
11297.0,0.0,0.006437294257631576,0.00012874588515263152
14897.0,0.0,0.006437294257631576,0.00012874588515263152
18497.0,0.0,0.006437294257631576,0.00012874588515263152
22097.0,0.0,0.006437294257631576,0.00012874588515263152
25697.0,0.0,0.006437294257631576,0.00012874588515263152
29297.0,0.0,0.006437294257631576,0.00012874588515263152
32897.0,0.0,0.006437294257631576,0.00012874588515263152
36497.0,0.0,0.006437294257631576,0.00012874588515263152
40097.0,0.0,0.006437294257631576,0.00012874588515263152
43697.0,0.0,0.006437294257631576,0.00012874588515263152
47297.0,0.0,0.006437294257631576,0.00012874588515263152
50897.0,0.0,0.006437294257631576,0.00012874588515263152
54497.0,0.0,0.006437294257631576,0.00012874588515263152
58097.0,0.0,0.006437294257631576,0.00012874588515263152
61697.0,0.0,0.006437294257631576,0.00012874588515263152
65297.0,0.0,0.006437294257631576,0.00012874588515263152
68897.0,0.0,0.006437294257631576,0.00012874588515263152
72497.0,0.0,0.006437294257631576,0.00012874588515263152
76097.0,0.0,0.006437294257631576,0.00012874588515263152
79697.0,0.0,0.006437294257631576,0.00012874588515263152
83297.0,0.0,0.006437294257631576,0.00012874588515263152
86400.0,0.0,0.006437294257631576,0.00012874588515263152
