time_s,time_h,flux_g_m2_day,cumulative_g_m2
0.0,0.0,0.0,0.0
1.0,0.0002777777777777778,2.922575959360658e+23,3.3826110640748355e+18
2.0,0.0005555555555555556,7.204572616375238e+23,1.1721236777472102e+19
3.0,0.0008333333333333334,1.1947080844229631e+24,2.554887664347862e+19
5.0,0.001388888888888889,2.1472584330827802e+24,7.525393296483926e+19
9.0,0.0025,3.8925532267070997e+24,2.5546473049757535e+20
17.0,0.004722222222222222,6.767701153511377e+24,8.821037261930732e+20
33.0,0.009166666666666667,1.0778783768288958e+25,2.878174794394732e+21
65.0,0.018055555555555554,1.5073694754212597e+25,8.46102470336236e+21
129.0,0.035833333333333335,1.8212945427890147e+25,2.1952095390688396e+22
257.0,0.07138888888888889,1.961784636585403e+25,5.101557148824993e+22
513.0,0.1425,1.9971377160703177e+25,1.1019002233477787e+23
1025.0,0.2847222222222222,2.0019092915815987e+25,2.2882168405813187e+23
2049.0,0.5691666666666667,2.002243840497043e+25,4.661246577466703e+23
4097.0,1.1380555555555556,2.0022558078205966e+25,9.407334418226636e+23
7697.0,2.1380555555555554,2.0022559983950494e+25,1.7750067744872675e+24
11297.0,3.1380555555555554,2.0022560058937255e+25,2.60928011027632e+24
14897.0,4.138055555555556,2.0022560058937255e+25,3.4435534460653724e+24
18497.0,5.138055555555556,2.0022560058937255e+25,4.277826781854425e+24
22097.0,6.138055555555556,2.0022560058937255e+25,5.112100117643477e+24
25697.0,7.138055555555556,2.0022560058937255e+25,5.94637345343253e+24
29297.0,8.138055555555555,2.0022560058937255e+25,6.780646789221582e+24
32897.0,9.138055555555555,2.0022560058937255e+25,7.614920125010635e+24
36497.0,10.138055555555555,2.0022560058937255e+25,8.449193460799687e+24
40097.0,11.138055555555555,2.0022560058937255e+25,9.28346679658874e+24
43697.0,12.138055555555555,2.0022560058937255e+25,1.0117740132377792e+25
47297.0,13.138055555555555,2.0022560058937255e+25,1.0952013468166845e+25
50897.0,14.138055555555555,2.0022560058937255e+25,1.1786286803955897e+25
54497.0,15.138055555555555,2.0022560058937255e+25,1.262056013974495e+25
58097.0,16.138055555555557,2.0022560058937255e+25,1.3454833475534002e+25
61697.0,17.138055555555557,2.0022560058937255e+25,1.4289106811323055e+25
65297.0,18.138055555555557,2.0022560058937255e+25,1.5123380147112107e+25
68897.0,19.138055555555557,2.0022560058937255e+25,1.595765348290116e+25
72497.0,20.138055555555557,2.0022560058937255e+25,1.6791926818690212e+25
76097.0,21.138055555555557,2.0022560058937255e+25,1.7626200154479265e+25
79697.0,22.138055555555557,2.0022560058937255e+25,1.8460473490268317e+25
83297.0,23.138055555555557,2.0022560058937255e+25,1.929474682605737e+25
86400.0,24.0,2.0022560058937255e+25,2.0013844092988878e+25
